titulo,fuente,fecha_publicacion,url,es_paro_docente,hay_suspension_clases,ubicacion_bogota,ubicacion_Colombia,duracion_dias,organizaciones_sindicales,razones_paro,costo_mencionado,justificacion_paro,resumen,fecha_paro,tipo_movilizacion,ubicacion,descripcion,periodo_busqueda,fecha_extraccion,fuente_oficial
Circulares 2023,web,No especificada,https://fecode.edu.co/circulares-2023/,False,False,False,,,['FECODE'],"No se especifican razones de un paro, solo convocatorias a reuniones y movilizaciones.",,"La noticia menciona convocatorias y reuniones, pero no se indica que haya habido suspensión de clases programadas, por lo que no se considera un paro docente verdadero.","Se presentan diversas circulares de FECODE que convocan a reuniones y actividades, pero no se menciona un paro con suspensión de clases.",,Convocatorias a reuniones y movilizaciones,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|Abr 7, 2025",paro docentes,2025-10-24 01:53:52,FECODE
Elecciones Fecode 2023,web,No especificada,https://fecode.edu.co/elecciones-fecode-2023/,False,False,False,,,['FECODE'],,,"No se menciona ninguna suspensión de clases, sino que se trata de información sobre elecciones y organización interna de Fecode.","La noticia se centra en la organización y elecciones de Fecode, sin mencionar protestas o paros docentes.",,informativa,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|Abr 30, 2025",FECODE 2023,2025-10-24 01:54:19,Fecode
Acuerdo FECODE – MEN 2023,web,No especificada,https://fecode.edu.co/acuerdo-fecode-men-2023/,False,False,False,,,['FECODE'],"No se especifican demandas de un paro, sino acuerdos alcanzados.",,"No se menciona la suspensión de clases, sino la firma de acuerdos entre FECODE y el Gobierno Nacional, lo que indica que no hubo un paro docente.","Se firmaron acuerdos entre FECODE y el Gobierno Nacional, sin que se haya declarado un paro docente.",,Acuerdo colectivo,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|Abr 30, 2025",FECODE 2023,2025-10-24 01:54:19,FECODE
Escuela Sindical Documentos,web,No especificada,https://fecode.edu.co/escuela-sindical-documentos/,False,False,False,,,['FECODE'],"No se especifican demandas relacionadas con un paro, sino actividades de formación.",,"No se menciona ninguna suspensión de clases programadas, sino actividades de formación y organización del sindicato.",El texto se centra en la importancia de la formación sindical para los docentes y no menciona un paro o suspensión de clases.,,Actividades de formación sindical,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|May 22, 2025",FECODE 2023,2025-10-24 01:54:19,FECODE
Adjudican a Enlaza 6 proyectos de obras por impuestos de Colombia en 2023,web,No especificada,https://www.valoraanalitik.com/adjudican-a-enlaza-6-proyectos-de-obras-por-impuestos-de-colombia-en-2023/,False,False,False,,,[],"No hay un paro, sino proyectos de inversión en educación y energía.",21000000.0,"No se menciona ninguna suspensión de clases programadas, sino que se habla de proyectos de infraestructura educativa y mejoras en instituciones.","Se adjudican seis proyectos de 'Obras por Impuestos' en Colombia, enfocados en mejorar la infraestructura educativa y el acceso a energía en zonas rurales.",,"No aplica, ya que no hay paro.","{'pais': 'Colombia', 'ciudad': None, 'localidades': ['La Guajira', 'Cesar', 'Santander']}","6 proyectos de Obras por Impuestos adjudicó a Enlaza, del GEB, la Agencia de Renovación del Territorio por más de $21.000 millones en Colombia",paro docentes,2025-10-24 01:57:46,Media
¿Cuántos paros de maestros ha habido en 2023 y cómo impactan a la educación en Colombia?,web,No especificada,https://www.valoraanalitik.com/estos-son-los-paros-de-maestros-que-se-han-desarrollado-en-2023/,True,True,True,,1.0,"['FECODE', 'ADE']","Rechazo al bono escolar propuesto, incumplimiento de acuerdos, mala prestación del sistema de salud y barreras de acceso a la educación.",,"El paro del 30 de agosto de 2023 implica la suspensión de clases programadas durante 24 horas, lo que cumple con la definición de un paro docente verdadero.","El 30 de agosto de 2023, Fecode convocó un paro nacional de 24 horas para protestar contra el bono escolar y otros problemas en la educación pública en Colombia.",30-08-2023,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': []}","Tras el nuevo anuncio de un paro de maestros este 30 de agosto de 2023 en Colombia afectando a estudiantes, se generó polémica.",paro maestros,2025-10-24 01:58:01,"media, Blu Radio"
Paro nacional de maestros este 30 de agosto: ¿Por qué marchan 24 horas?,web,No especificada,https://www.valoraanalitik.com/paro-de-maestros-este-30-de-agosto-descubra-razones/,True,True,True,,1.0,['FECODE'],"Los maestros protestan por la mala prestación del servicio de salud, barreras de acceso a mejores oportunidades laborales, incumplimientos de pactos gubernamentales y en contra del bono escolar propuesto por el gobierno.",,El paro se considera verdadero porque se menciona que habrá una suspensión de clases programadas durante 24 horas a nivel nacional.,"El 30 de agosto, FECODE convocará un paro nacional de 24 horas por diversas demandas relacionadas con la educación y la salud, incluyendo oposición a un bono escolar que consideran perjudicial para la educación pública.",30-08-2023,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': ['Calle 72 #10-03']}","Para este 30 de agosto se vivirá una nueva jornada de paro nacional, el cual será por 24 horas, promovido por Fecode.",paro maestros,2025-10-24 01:58:01,media
¿Paro de maestros? Fecode anuncia movilizaciones para este 30 de agosto,web,No especificada,https://www.valoraanalitik.com/fecode-anuncia-movilizaciones-para-este-30-de-agosto/,True,True,True,,1.0,['FECODE'],"Protestas por malas condiciones de acceso al sistema de salud, incumplimientos, y oposición a proyectos de ley que afectan la educación pública.",,"El anuncio de Fecode menciona un 'paro nacional del magisterio' de 24 horas, lo que implica la suspensión de clases programadas.","Fecode anuncia un paro nacional de 24 horas para el 30 de agosto, protestando por condiciones de salud y proyectos de ley que afectan la educación.",30-08-2023,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': []}","Fecode, indicó que habrá una nueva movilización de protestas el próximo miércoles 30 de agosto en todo el territorio nacional.",paro maestros,2025-10-24 01:58:01,media
ABC del paro que realizará Fecode en Bogotá contra el gobierno Petro,web,No especificada,https://www.valoraanalitik.com/paro-de-fecode-contra-gobierno-petro-en-bogota/,False,False,True,,,['FECODE'],"Revisión de la reforma a la educación en el Senado, específicamente en cinco artículos que afectan a los maestros y estudiantes.",,"Aunque Fecode convocó a una movilización y se mencionó un 'paro', no se especifica que haya habido suspensión de clases programadas, por lo que no se considera un paro docente verdadero.","Fecode realizará una movilización en Bogotá para exigir cambios en la reforma educativa, pero no se suspenderán clases.","17 de junio, 2023",movilización,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': ['Colegio Manuela Beltrán', 'Universidad Nacional', 'Colegio Enrique Olaya Herrera', 'Frente al Sena']}","El próximo lunes, 17 de junio, Fecode hará un paro que promete tomarse Bogotá, ya que pide modificaciones en la reforma a la educación.",paro maestros,2025-10-24 01:58:01,media
"Marcha de maestros continuó este 29 de marzo, vea el balance de movilidad en Bogotá",web,No especificada,https://www.valoraanalitik.com/marcha-de-maestros-continuo-este-miercoles-29-conozca-como-esta-movilidad/,True,True,True,,1.0,['ADE'],Mejoras en las condiciones laborales y negociación con la Alcaldía de Bogotá.,,"La noticia menciona un cese de actividades por parte de los maestros, lo que implica la suspensión de clases programadas para llevar a cabo la marcha.","Los maestros de Bogotá marcharon el 29 de marzo exigiendo mejores condiciones laborales, lo que resultó en la suspensión de clases.",29-03-2023,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': ['Centro de Bogotá', 'Super Cade de la 30 con 26', 'Secretaría de Educación']}",Desde ayer los maestros de Bogotá hicieron una marcha para exigir mejores condiciones laborales a Claudia López y este 29 de marzo siguen.,paro maestros,2025-10-24 01:58:01,media
