titulo,fuente,fecha_publicacion,url,es_paro_docente,hay_suspension_clases,ubicacion_bogota,ubicacion_Colombia,duracion_dias,organizaciones_sindicales,razones_paro,costo_mencionado,justificacion_paro,resumen,fecha_paro,tipo_movilizacion,ubicacion,descripcion,periodo_busqueda,fecha_extraccion,fuente_oficial
Circulares 2023,FECODE,No especificada,https://fecode.edu.co/circulares-2023/,False,False,False,True,,['FECODE'],No se especifican demandas concretas en el texto proporcionado.,,"La noticia menciona convocatorias y reuniones, pero no se indica que haya habido suspensión de clases programadas, por lo que no se considera un paro docente verdadero.","Se presentan diversas circulares de FECODE relacionadas con convocatorias y actividades, pero no se menciona un paro docente con suspensión de clases.",,Convocatorias y reuniones,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|Abr 7, 2025",paro docentes,2025-10-24 14:18:37,FECODE
Documentos 2025,FECODE,No especificada,https://fecode.edu.co/documentos-2025/,False,False,True,True,,['FECODE'],"Exigen respeto al derecho a la protesta, defensa de la vida y autodeterminación de los pueblos, y mejoras en la financiación de la educación.",,"No se menciona la suspensión de clases programadas, sino que se habla de movilizaciones y protestas, lo que indica que no se trata de un paro docente verdadero.","FECODE rechaza la represión a la protesta social y exige el respeto a los derechos de los docentes en Bogotá, sin que se haya declarado un paro con suspensión de clases.",,movilización y protesta social,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': []}","byfecodeAdminWP8|Abr 3, 2025",paro docentes,2025-10-24 14:18:37,FECODE
Circulares 2025,FECODE,No especificada,https://fecode.edu.co/circulares-2025/,True,True,False,True,1.0,['FECODE'],Demandas relacionadas con la financiación de la educación pública y derechos laborales de los docentes.,,"El texto menciona un 'Paro Nacional' programado para el 30 de octubre de 2025, lo que implica la suspensión de clases programadas.","FECODE convoca a un paro nacional de docentes el 30 de octubre de 2025, exigiendo mejoras en la financiación de la educación y derechos laborales.",30-10-2025,paro docente,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|Mar 16, 2025",paro docentes,2025-10-24 14:18:37,FECODE
Inicio,FECODE,No especificada,https://fecode.edu.co/,False,False,False,True,,['FECODE'],"Movilización por la radicación de la Ley orgánica de competencias para la garantía de derechos, salud y agua apta para el consumo humano.",,"No se menciona la suspensión de clases, solo se habla de convocatorias y movilizaciones, lo que indica que no se trata de un paro docente verdadero.","FECODE convoca a movilizaciones en relación a la radicación de una ley sobre derechos y salud, pero no se reporta suspensión de clases.",30-10-2025,movilización,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|Mar 15, 2025",paro docentes,2025-10-24 14:18:37,FECODE
Elecciones Fecode 2023,FECODE,No especificada,https://fecode.edu.co/elecciones-fecode-2023/,False,False,False,False,,['FECODE'],[],,"No se menciona ninguna suspensión de clases, sino que se trata de información sobre elecciones y organización interna de Fecode.",La noticia se centra en la organización de las elecciones de Fecode y no en un paro docente.,,informativa sobre elecciones,"{'pais': 'Colombia', 'ciudad': None, 'localidades': []}","byfecodeAdminWP8|Abr 30, 2025",FECODE 2023,2025-10-24 14:19:04,sindicato
Acuerdo FECODE – MEN 2023,FECODE,No especificada,https://fecode.edu.co/acuerdo-fecode-men-2023/,False,False,False,True,,['FECODE'],"No se especifican demandas de un paro, sino acuerdos alcanzados.",,"No se menciona la suspensión de clases, sino la firma de acuerdos entre FECODE y el Gobierno Nacional, lo que indica que no hubo un paro docente.","Se ha suscrito un acuerdo colectivo entre FECODE y el Gobierno Nacional, sin mencionar un paro docente.",,Acuerdo colectivo,"{'pais': 'Colombia', 'ciudad': None, 'localidades': []}","byfecodeAdminWP8|Abr 30, 2025",FECODE 2023,2025-10-24 14:19:05,FECODE
Escuela Sindical Documentos,FECODE,No especificada,https://fecode.edu.co/escuela-sindical-documentos/,False,False,False,True,,['FECODE'],Promoción de la formación política y sindical de los docentes.,,"No se menciona una suspensión de clases programadas, sino actividades de formación y organización del sindicato.",La Escuela Nacional Sindical de FECODE se enfoca en la formación política y sindical de los docentes para defender sus derechos.,,Actividades de formación sindical,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|May 22, 2025",FECODE 2023,2025-10-24 14:19:05,FECODE
Fecode convoca a paro nacional de 24 horas el próximo 30 de octubre,Valora Analitik,No especificada,https://www.valoraanalitik.com/fecode-convoca-a-paro-nacional-de-24-horas-el-proximo-30-de-octubre/,True,True,False,True,1.0,['FECODE'],"Defensa del derecho a la salud digna para maestros y sus familias, y exigencia de reglamentación del Acto Legislativo 03 de 2024.",,"El paro convocado por Fecode implica la suspensión de clases programadas durante 24 horas, lo que cumple con la definición de un paro docente verdadero.",Fecode convoca a un paro nacional de 24 horas el 30 de octubre para exigir mejoras en la salud de los docentes y la reglamentación de la reforma del SGP.,30-10-2025,paro docente,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","Estas son las razones del descontento de la Federación de Trabajadores, Fecode.",paro docentes,2025-10-24 14:22:33,FECODE
Gobierno invierte cerca de $130.000 millones en nuevo sistema de salud laboral para docentes,Valora Analitik,No especificada,https://www.valoraanalitik.com/gobierno-invierte-cerca-de-130-000-millones-en-nuevo-sistema-de-salud-laboral-para-docentes/,False,False,False,True,,['FECODE'],Mejorar las condiciones de salud y laborales de los docentes.,129529000.0,"No se menciona ninguna suspensión de clases programadas, sino un anuncio sobre un nuevo sistema de salud laboral para docentes.","El gobierno anunció una inversión en un nuevo sistema de salud laboral para docentes, beneficiando a más de 330,000 maestros en el país.",,anuncio de inversión en salud laboral,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}",El Ministerio de Trabajo pondrá en marcha 561 equipos especializados para prevenir riesgos y atender la salud física y mental de los maestros.,paro docentes,2025-10-24 14:22:33,media
Alianza entre Banco de Bogotá y Unicef ha recaudado más de $33.000 millones para la educación infantil y juvenil,Valora Analitik,No especificada,https://www.valoraanalitik.com/alianza-banco-de-bogota-unicef-recaudado-millones-educacion-infantil-juvenil/,False,False,False,True,,[],,33000000.0,"La noticia no menciona ninguna suspensión de clases, sino que se enfoca en una alianza entre el Banco de Bogotá y Unicef para mejorar la educación infantil y juvenil.",El Banco de Bogotá y Unicef han recaudado más de $33.000 millones para apoyar la educación infantil y juvenil en varias regiones de Colombia.,,"Ninguna movilización, solo una alianza","{'pais': 'Colombia', 'ciudad': None, 'localidades': []}","En términos de resultados consolidados, desde sus inicios esta alianza entre Banco de Bogotá y Unicef ha logrado recaudar más de $33.000 millones.",paro docentes,2025-10-24 14:22:33,media
