titulo,fuente,fecha_publicacion,url,es_paro_docente,hay_suspension_clases,ubicacion_bogota,ubicacion_Colombia,duracion_dias,organizaciones_sindicales,razones_paro,costo_mencionado,justificacion_paro,resumen,fecha_paro,tipo_movilizacion,ubicacion,descripcion,periodo_busqueda,fecha_extraccion,fuente_oficial
Circulares 2025,FECODE,No especificada,https://fecode.edu.co/circulares-2025/,True,True,False,True,1.0,['FECODE'],Demandas relacionadas con derechos laborales y condiciones de trabajo del magisterio.,,"El texto menciona un 'Paro Nacional' programado para el 30 de octubre de 2025, lo que implica la suspensión de clases programadas.","Se convoca a un paro nacional de docentes para el 30 de octubre de 2025, organizado por FECODE, en respuesta a demandas laborales.",2025-10-30,paro docente,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|Mar 16, 2025",paro docentes,2025-10-24 19:55:42,FECODE
Inicio,FECODE,No especificada,https://fecode.edu.co/,True,True,False,True,,['FECODE'],"Demandas relacionadas con la garantía de derechos, salud y agua apta para el consumo humano.",,"El texto menciona un 'Paro Nacional' programado para el 30 de octubre de 2025, lo que implica la suspensión de clases en esa fecha.","FECODE ha convocado un Paro Nacional para el 30 de octubre de 2025, centrado en demandas de derechos y servicios básicos para el magisterio.",2025-10-30,paro docente,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|Mar 15, 2025",paro docentes,2025-10-24 19:55:42,FECODE
Fecode convoca a paro nacional de 24 horas el próximo 30 de octubre,Valora Analitik,No especificada,https://www.valoraanalitik.com/fecode-convoca-a-paro-nacional-de-24-horas-el-proximo-30-de-octubre/,True,True,False,True,1.0,['FECODE'],"Defensa del derecho a la salud digna para maestros y sus familias, y exigencia de reglamentación del Acto Legislativo 03 de 2024.",,"El paro convocado por Fecode implica una suspensión de clases programadas durante 24 horas, lo que lo clasifica como un paro docente verdadero.",Fecode convoca a un paro nacional de 24 horas el 30 de octubre para exigir mejoras en la salud de los docentes y la reglamentación de una reforma educativa.,2025-10-30,paro docente,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","Estas son las razones del descontento de la Federación de Trabajadores, Fecode.",paro docentes,2025-10-24 20:00:16,FECODE
¿Cuántos paros de maestros ha habido en 2023 y cómo impactan a la educación en Colombia?,Valora Analitik,No especificada,https://www.valoraanalitik.com/estos-son-los-paros-de-maestros-que-se-han-desarrollado-en-2023/,True,True,True,True,1.0,"['FECODE', 'ADE']",Las demandas incluyen la defensa de la educación pública de calidad y el rechazo a un proyecto de bono escolar que podría privatizar la educación.,,El paro docente se considera verdadero porque se menciona que habrá una suspensión de clases programadas durante 24 horas el 30 de agosto de 2023.,"El 30 de agosto de 2023, FECODE convocó un paro de 24 horas en Colombia para protestar contra un proyecto de bono escolar y exigir mejoras en la educación pública.",2023-08-30,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': []}","Tras el nuevo anuncio de un paro de maestros este 30 de agosto de 2023 en Colombia afectando a estudiantes, se generó polémica.",paro maestros,2025-10-24 20:00:36,"media, Blu Radio"
Paro nacional de maestros este 30 de agosto: ¿Por qué marchan 24 horas?,Valora Analitik,No especificada,https://www.valoraanalitik.com/paro-de-maestros-este-30-de-agosto-descubra-razones/,True,True,True,True,1.0,['FECODE'],"Los maestros protestan por la mala prestación del servicio de salud, barreras de acceso a oportunidades laborales, incumplimientos del gobierno y en contra del bono escolar propuesto por el gobierno.",,El paro se considera verdadero porque se menciona que habrá una suspensión de clases programadas durante 24 horas a nivel nacional.,"El 30 de agosto, FECODE convocará un paro nacional de 24 horas por diversas demandas relacionadas con la educación y la salud, incluyendo la oposición a un bono escolar que consideran perjudicial para la educación pública.",2023-08-30,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': []}","Para este 30 de agosto se vivirá una nueva jornada de paro nacional, el cual será por 24 horas, promovido por Fecode.",paro maestros,2025-10-24 20:00:37,media
¿Paro de maestros? Fecode anuncia movilizaciones para este 30 de agosto,Valora Analitik,No especificada,https://www.valoraanalitik.com/fecode-anuncia-movilizaciones-para-este-30-de-agosto/,True,True,True,True,1.0,['FECODE'],"Protestas por malas condiciones de acceso al sistema de salud, incumplimientos, barreras de acceso, falta de oportunidades y proyectos de ley que afectan la educación pública.",,"El anuncio de Fecode indica que habrá un paro nacional del magisterio por 24 horas, lo que implica la suspensión de clases programadas.","Fecode anuncia un paro nacional de 24 horas para el 30 de agosto, protestando por condiciones de salud y proyectos de ley que afectan la educación pública.",2023-08-30,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': []}","Fecode, indicó que habrá una nueva movilización de protestas el próximo miércoles 30 de agosto en todo el territorio nacional.",paro maestros,2025-10-24 20:00:37,media
"Marcha de maestros continuó este 29 de marzo, vea el balance de movilidad en Bogotá",Valora Analitik,No especificada,https://www.valoraanalitik.com/marcha-de-maestros-continuo-este-miercoles-29-conozca-como-esta-movilidad/,True,True,True,True,1.0,['ADE'],Mejoras en las condiciones laborales y negociación con la Alcaldía de Bogotá.,,"La noticia menciona un cese de actividades por parte de los maestros, lo que implica la suspensión de clases programadas para llevar a cabo la marcha.","Los maestros de Bogotá realizaron una marcha el 29 de marzo exigiendo mejores condiciones laborales, lo que resultó en la suspensión de clases.",2023-03-29,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': ['Centro de Bogotá', 'Super Cade de la 30 con 26', 'Secretaría de Educación', 'Centro Comercial Gran Estación']}",Desde ayer los maestros de Bogotá hicieron una marcha para exigir mejores condiciones laborales a Claudia López y este 29 de marzo siguen.,paro maestros,2025-10-24 20:00:38,media
Puntos de encuentro de Fecode para las marchas de este 28 de febrero en Bogotá,Valora Analitik,No especificada,https://www.valoraanalitik.com/fecode-conozca-los-puntos-de-encuentro-para-las-movilizaciones-de-hoy-28-febrero/,True,True,True,True,1.0,['FECODE'],"Aumento salarial, mejoras en la educación e infraestructura, protección laboral, y mejoras en el PAE y conectividad.",,Se considera un paro docente porque algunos colegios públicos suspendieron clases el 28 de febrero para permitir que los docentes participaran en las marchas convocadas por Fecode.,"El 28 de febrero, Fecode convocó a marchas en Colombia para exigir derechos laborales, lo que llevó a la suspensión de clases en algunos colegios.",2023-02-28,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': ['Avenida Jiménez', 'Carrera Séptima', 'Gobernación de Cundinamarca']}",Este martes 28 de febrero los profesores de Colombia fueron convocados por Fecode para marchar por sus derechos laborales.,FECODE 2023,2025-10-24 20:01:27,media
"Nueva marcha de maestros durante el 28 y 29 de marzo en Bogotá, entérese de puntos de encuentro y motivos",Valora Analitik,No especificada,https://www.valoraanalitik.com/nueva-marcha-de-maestros-el-28-y-29-de-marzo-en-bogota-vea-puntos-de-encuentro/,True,True,True,True,2.0,"['ADE', 'FECODE']","Exigen mejores oportunidades laborales, financiación de la educación pública, salud del magisterio y reubicación de docentes provisionales.",23000000000,"Se considera un paro docente verdadero porque se menciona explícitamente que habrá suspensión de clases durante 48 horas, afectando a los estudiantes de colegios públicos.",Los maestros de Bogotá realizarán un paro de 48 horas los días 28 y 29 de marzo para exigir mejoras en la educación y condiciones laborales.,2023-03-28,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': ['Calle 26b', 'Alcaldía de Bogotá', 'Súper CADE']}",Una nueva marcha iniciará hoy por parte del gremio de maestros en Bogotá para mostrar rechazo a la Alcaldía de Claudia López.,protesta docente 2023,2025-10-24 20:02:04,media (RCN Radio)
Fecode ratifica que el 30 de octubre habrá paro nacional del magisterio de 24 horas,El Espectador,Hace 2 días,https://www.elespectador.com/educacion/fecode-ratifica-que-el-30-de-octubre-habra-paro-nacional-del-magisterio-de-24-horas/&ved=2ahUKEwiUypLI0L2QAxUCLEQIHTnGFgsQxfQBegQIBRAC&usg=AOvVaw2Q4sdLl6gOiOl2aMiROOK5,True,True,False,True,1.0,['FECODE'],"Mejoras en el sistema de salud del magisterio, cumplimiento de acuerdos laborales y defensa del Fondo Nacional de Prestaciones Sociales.",,"El paro nacional de 24 horas programado para el 30 de octubre implica la suspensión de clases, lo que lo califica como un verdadero paro docente.","Fecode ha convocado un paro nacional de 24 horas para el 30 de octubre de 2025, buscando mejoras en salud y condiciones laborales para los docentes.",2025-10-30,paro docente,"{'pais': 'Colombia', 'ciudad': None, 'localidades': []}","Fecode, el mayor sindicato de docentes del país, confirmó que realizará un paro nacional de 24 horas el próximo 30 de octubre de 2025.",paro docente Colombia 2023,2025-10-24 20:02:59,"media, El Espectador"
