titulo,fuente,fecha_publicacion,url,es_paro_docente,hay_suspension_clases,ubicacion_bogota,ubicacion_Colombia,duracion_dias,organizaciones_sindicales,razones_paro,costo_mencionado,justificacion_paro,resumen,fecha_paro,tipo_movilizacion,ubicacion,descripcion,periodo_busqueda,fecha_extraccion,fuente_oficial
Circulares 2023,FECODE,No especificada,https://fecode.edu.co/circulares-2023/,False,False,False,True,,['FECODE'],Convocatorias a movilizaciones y reuniones relacionadas con derechos laborales y actividades del magisterio.,,"No se menciona la suspensión de clases, sino convocatorias a reuniones y movilizaciones, lo que indica que no se trata de un paro docente verdadero.","Se presentan diversas circulares de FECODE que convocan a reuniones y movilizaciones, pero no se indica un paro con suspensión de clases.",,convocatoria a movilización,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|Abr 7, 2025",paro docentes,2025-11-04 23:25:18,FECODE
Documentos 2025,FECODE,No especificada,https://fecode.edu.co/documentos-2025/,False,False,True,True,,['FECODE'],"Exigen el respeto al derecho a la protesta y a la libertad de los docentes, así como la defensa de la salud y la educación.",,"No se menciona la suspensión de clases programadas, sino que se habla de movilizaciones y protestas, lo que indica que no se trata de un paro docente verdadero.","FECODE rechaza la represión a la protesta social y exige el respeto a los derechos de los docentes en Bogotá, sin que se haya declarado un paro con suspensión de clases.",,movilización y protesta social,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': []}","byfecodeAdminWP8|Abr 3, 2025",paro docentes,2025-11-04 23:25:18,FECODE
Circulares 2025,FECODE,No especificada,https://fecode.edu.co/circulares-2025/,True,True,False,True,2.0,['FECODE'],Demandas relacionadas con la financiación de la educación pública y derechos laborales de los docentes.,,"Se menciona un 'Paro Nacional de 48 horas' y un 'Paro Nacional' programado para el 30 de octubre de 2025, lo que indica que hubo suspensión de clases.","FECODE convoca a un paro nacional de 48 horas para el 30 de octubre de 2025, en defensa de la educación pública y los derechos laborales de los docentes.",2025-10-30,paro docente,"{'pais': 'Colombia', 'ciudad': None, 'localidades': []}","byfecodeAdminWP8|Mar 16, 2025",paro docentes,2025-11-04 23:25:18,FECODE
Inicio,FECODE,No especificada,https://fecode.edu.co/,False,False,False,True,,['FECODE'],El derecho a la protesta social y la garantía de derechos para docentes.,,"No se menciona la suspensión de clases programadas, por lo que no se considera un paro docente verdadero.","FECODE reafirma el derecho a la protesta social y exige al gobierno garantizarlo, sin que se haya declarado un paro docente.",,pronunciamiento,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|Mar 15, 2025",paro docentes,2025-11-04 23:25:18,FECODE
Elecciones Fecode 2023,FECODE,No especificada,https://fecode.edu.co/elecciones-fecode-2023/,False,False,False,True,,['FECODE'],[],,"No se menciona ninguna suspensión de clases, sino que se trata de información sobre elecciones y circulares de Fecode.","La noticia se centra en las elecciones de Fecode y la conformación de su nuevo comité ejecutivo, sin mencionar protestas o paros.",,elecciones,"{'pais': 'Colombia', 'ciudad': None}","byfecodeAdminWP8|Abr 30, 2025",FECODE 2023,2025-11-04 23:25:48,Fecode
Acuerdo FECODE – MEN 2023,FECODE,No especificada,https://fecode.edu.co/acuerdo-fecode-men-2023/,False,False,False,True,,['FECODE'],"No se especifican demandas de un paro, sino acuerdos alcanzados.",,"No se menciona la suspensión de clases, sino la firma de acuerdos entre FECODE y el Gobierno Nacional.","Se informa sobre la firma de un acuerdo colectivo entre FECODE y el Gobierno Nacional, sin mencionar un paro docente.",,Acuerdo colectivo,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|Abr 30, 2025",FECODE 2023,2025-11-04 23:25:48,FECODE
Escuela Sindical Documentos,FECODE,No especificada,https://fecode.edu.co/escuela-sindical-documentos/,False,False,False,True,,['FECODE'],Promoción de la formación política y sindical para la defensa de derechos laborales.,,"No se menciona la suspensión de clases programadas, sino actividades de formación y promoción del sindicalismo.",La Escuela Nacional Sindical de FECODE se enfoca en la formación política y sindical de los docentes para defender sus derechos laborales.,,formación sindical,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","byfecodeAdminWP8|May 22, 2025",FECODE 2023,2025-11-04 23:25:48,FECODE
Premio 2019,Red Académica,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/premio-2019,False,False,False,False,,[],[],,"No se menciona ninguna suspensión de clases programadas, sino que se habla de un encuentro sobre estrategias de escritura.","La noticia se centra en un encuentro sobre estrategias de escritura para estudiantes de básica primaria, sin relación a protestas o paros docentes.",,encuentro educativo,"{'pais': 'Colombia', 'ciudad': None, 'localidades': []}",,paro docentes,2025-11-04 23:27:40,media
Paro de Docentes,Red Académica,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/paro-de-docentes,True,True,True,False,1.0,['Asociación Distrital de Educadores'],El paro busca mejorar la calidad educativa y la participación de los padres en la gestión escolar.,,"El comunicado menciona un paro de 24 horas convocado por la Asociación Distrital de Educadores, lo que implica la suspensión de clases programadas.","El 3 de noviembre, la Asociación Distrital de Educadores convocó un paro de 24 horas, lo que resultará en la suspensión de clases. Se busca mejorar la participación de los padres en la educación.",2022-11-03,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': []}",,paro docentes,2025-11-04 23:27:40,media
INFORME DE GESTIÓN ACADÉMICA Y PEDAGÓGICA AÑO 2022,Red Académica,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/informe-de-gestion-academica-y-pedagogica-ano-2022,False,False,False,False,,[],[],,"No se menciona la suspensión de clases programadas, por lo que no se considera un paro docente verdadero.","La noticia no reporta un paro docente, sino una movilización sin suspensión de clases.",,manifestación,"{'pais': 'Colombia', 'ciudad': None, 'localidades': []}",,paro docentes,2025-11-04 23:27:40,media
Inmersión pedagógica e intercultural en Francia,Red Académica,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/inmersion-pedagogica-e-intercultural-en-francia,False,False,False,False,,[],,,"No se menciona la suspensión de clases programadas, por lo que no se considera un paro docente verdadero.","La noticia no detalla un paro docente, sino que se refiere a una movilización sin suspensión de clases.",,manifestación,"{'pais': 'Colombia', 'ciudad': None, 'localidades': []}",,paro docentes,2025-11-04 23:27:40,media
Respuesta,Red Académica,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/respuesta,False,False,False,False,,[],[],,"No se menciona la suspensión de clases programadas, por lo que no se considera un paro docente verdadero.","La noticia no reporta un paro docente, sino una movilización sin suspensión de clases.",,manifestación,{},,paro docentes,2025-11-04 23:27:40,media
Formación permanente,Red Académica,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/formacion-permanente,False,False,False,False,,[],,,"No se menciona la suspensión de clases programadas, por lo que no se considera un paro docente verdadero.","La noticia no detalla un paro docente, sino que se refiere a una movilización sin suspensión de clases.",,manifestación,"{'pais': 'Colombia', 'ciudad': None, 'localidades': []}",,paro docentes,2025-11-04 23:27:40,media
Orientaciones sobre cómo estudiar y evaluar cuando se Aprende en casa,Red Académica,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/orientaciones-sobre-como-estudiar-y-evaluar-cuando-se-aprende-en-casa,False,False,False,False,,[],[],,"No se menciona ninguna suspensión de clases programadas, por lo que no se puede considerar un paro docente verdadero.","El texto no proporciona información sobre un paro docente, sino que se enfoca en orientaciones sobre el estudio y evaluación en casa.",,,"{'pais': 'Colombia', 'ciudad': None, 'localidades': []}",,paro docentes,2025-11-04 23:27:40,media
