fuente,titulo,descripcion,fecha_publicacion,url,periodo_busqueda,fecha_extraccion
FECODE,Circulares 2023,"byfecodeAdminWP8|Abr 7, 2025",No especificada,https://fecode.edu.co/circulares-2023/,paro docentes,2025-11-04 23:25:18
FECODE,Documentos 2025,"byfecodeAdminWP8|Abr 3, 2025",No especificada,https://fecode.edu.co/documentos-2025/,paro docentes,2025-11-04 23:25:18
FECODE,Circulares 2025,"byfecodeAdminWP8|Mar 16, 2025",No especificada,https://fecode.edu.co/circulares-2025/,paro docentes,2025-11-04 23:25:18
FECODE,Inicio,"byfecodeAdminWP8|Mar 15, 2025",No especificada,https://fecode.edu.co/,paro docentes,2025-11-04 23:25:18
FECODE,Elecciones Fecode 2023,"byfecodeAdminWP8|Abr 30, 2025",No especificada,https://fecode.edu.co/elecciones-fecode-2023/,FECODE 2023,2025-11-04 23:25:48
FECODE,Acuerdo FECODE – MEN 2023,"byfecodeAdminWP8|Abr 30, 2025",No especificada,https://fecode.edu.co/acuerdo-fecode-men-2023/,FECODE 2023,2025-11-04 23:25:48
FECODE,Escuela Sindical Documentos,"byfecodeAdminWP8|May 22, 2025",No especificada,https://fecode.edu.co/escuela-sindical-documentos/,FECODE 2023,2025-11-04 23:25:48
Red Académica,Premio 2019,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/premio-2019,paro docentes,2025-11-04 23:27:40
Red Académica,Paro de Docentes,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/paro-de-docentes,paro docentes,2025-11-04 23:27:40
Red Académica,INFORME DE GESTIÓN ACADÉMICA Y PEDAGÓGICA AÑO 2022,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/informe-de-gestion-academica-y-pedagogica-ano-2022,paro docentes,2025-11-04 23:27:40
Red Académica,Inmersión pedagógica e intercultural en Francia,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/inmersion-pedagogica-e-intercultural-en-francia,paro docentes,2025-11-04 23:27:40
Red Académica,Respuesta,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/respuesta,paro docentes,2025-11-04 23:27:40
Red Académica,Formación permanente,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/formacion-permanente,paro docentes,2025-11-04 23:27:40
Red Académica,Orientaciones sobre cómo estudiar y evaluar cuando se Aprende en casa,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/orientaciones-sobre-como-estudiar-y-evaluar-cuando-se-aprende-en-casa,paro docentes,2025-11-04 23:27:40
Red Académica,Comunicado Primera Asamblea de Padres de Familia,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/comunicado-primera-asamblea-de-padres-de-familia,paro docentes,2025-11-04 23:27:40
Red Académica,BOLETÍN SEMANAL N° 21 DEL 9 AL 14 DE JUNIO DE 2025,BOLETÍN VIRREYISTA N° 21,"Vie, 13/06/2025 - 10:59",https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/boletin-semanal-ndeg-21-del-9-al-14-de-junio-de-2025,paro docentes,2025-11-04 23:27:40
Red Académica,BOLETÍN SEMANAL N° 21 DEL 22 AL 27 DE JULIO DE 2024,,"Jue, 25/07/2024 - 11:30",https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/boletin-semanal-ndeg-21-del-22-al-27-de-julio-de-2024,paro docentes,2025-11-04 23:27:40
Red Académica,COMUNICADO RECTORAL 19 DE MAYO 2022 PARA LOS PADRES DE FAMILIA Y ESTUDIANTES RUFINISTAS,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/comunicado-rectoral-19-de-mayo-2022-para-los-padres-de-familia-y-estudiantes-rufinistas,paro docentes,2025-11-04 23:27:40
Red Académica,CRONOGRAMA 2023,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/cronograma-2023,paro docentes,2025-11-04 23:27:40
Red Académica,Caja de Herramientas SIMONU,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/caja-de-herramientas-simonu,paro maestros,2025-11-04 23:27:47
Red Académica,Cátedras Itinerantes un espacio para el diálogo y la reflexión con enfoque STEM.,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/catedras-itinerantes-un-espacio-para-el-dialogo-y-la-reflexion-con-enfoque-stem,paro maestros,2025-11-04 23:27:47
Red Académica,Historia del Premio,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/historia-del-premio,paro maestros,2025-11-04 23:27:47
Red Académica,NOVEDADES PARO JUNIO 13 Y 14,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/novedades-paro-junio-13-y-14-0,paro maestros,2025-11-04 23:27:47
Red Académica,Red de Maestros presente en eventos internacionales de STEM,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/red-de-maestros-presente-en-eventos-internacionales-de-stem,paro maestros,2025-11-04 23:27:47
Red Académica,Red de Maestros STEM+ Transforma - Cierre 2022,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/red-de-maestros-stem-transforma-cierre-2022,paro maestros,2025-11-04 23:27:47
Red Académica,Maestros STEM consolidan sus apuestas pedagógicas en Bogotá,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/maestros-stem-consolidan-sus-apuestas-pedagogicas-en-bogota,paro maestros,2025-11-04 23:27:47
Red Académica,Cierre del período de acompañamiento de los maestros en formación de la Universidad Pedagógica Nacional,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/cierre-del-periodo-de-acompanamiento-de-los-maestros-en-formacion-de-la-universidad-pedagogica,paro maestros,2025-11-04 23:27:47
Red Académica,Celebración día del profesor,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/celebracion-dia-del-profesor,paro maestros,2025-11-04 23:27:47
Red Académica,Tercera cátedra  Red de Maestros STEM + Transforma,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/tercera-catedra-red-de-maestros-stem-transforma,paro maestros,2025-11-04 23:27:47
Red Académica,Mapa de Experiencias e Ideas Transformadoras,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/mapa-de-experiencias-e-ideas-transformadoras,suspensión de clases 2023,2025-11-04 23:27:55
Red Académica,Ganadores 2023,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/ganadores-2023,suspensión de clases 2023,2025-11-04 23:27:55
Red Académica,CONVOCATORIAS 2023,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/convocatorias-2023,suspensión de clases 2023,2025-11-04 23:27:55
Red Académica,REPORTES FINANCIEROS AÑO 2023,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/reportes-financieros-ano-2023,suspensión de clases 2023,2025-11-04 23:27:55
Red Académica,Finalización y Matrícula,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/finalizacion-y-matricula-0,suspensión de clases 2023,2025-11-04 23:27:55
Red Académica,Comunicado a la Comunidad Educativa - Reapertura,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/comunicado-la-comunidad-educativa-reapertura,suspensión de clases 2023,2025-11-04 23:27:55
Red Académica,INGRESO AL COLEGIO,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/ingreso-al-colegio,suspensión de clases 2023,2025-11-04 23:27:55
Red Académica,LISTAS DE UTILES ESCOLARES 2023,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/listas-de-utiles-escolares-2023,suspensión de clases 2023,2025-11-04 23:27:55
Red Académica,Ganadores 2022,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/ganadores-2022,suspensión de clases 2023,2025-11-04 23:27:55
Red Académica,CIRCULAR INFORMATIVA CIERRE AÑO ESCOLAR 2023 JORNADA MAÑANA,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/circular-informativa-cierre-ano-escolar-2023-jornada-manana,suspensión de clases 2023,2025-11-04 23:27:55
Red Académica,BOLETÍN SEMANAL N° 01,,"Lun, 26/02/2024 - 07:59",https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/boletin-semanal-ndeg-01,cese de actividades escolares 2023,2025-11-04 23:28:04
Red Académica,Donatón 2023 “Compartiendo con alegría”  MMC,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/donaton-2023-compartiendo-con-alegria-mmc,cese de actividades escolares 2023,2025-11-04 23:28:04
Red Académica,LA ESCUELA: UN RECURSO VITAL EN NUESTRA EXISTENCIA,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/la-escuela-un-recurso-vital-en-nuestra-existencia,huelga de profesores,2025-11-04 23:28:17
Red Académica,"🎨✨ ¡Bogotá Brilló en el IED Rafael Delgado Salguero! La Fiesta ""Vida en Escena"" Inicia las Vacaciones 🎉🎭",,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/bogota-brillo-en-el-ied-rafael-delgado-salguero-la-fiesta-vida-en-escena-inicia-las-vacaciones,huelga de profesores,2025-11-04 23:28:17
Red Académica,"CONTACTA A PROFESORES, DIRECTIVOS Y FUNCIONARIOS DEL COLEGIO",,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/contacta-profesores-directivos-y-funcionarios-del-colegio,huelga de profesores,2025-11-04 23:28:17
Red Académica,HORARIO DE ATENCIÓN A PADRES,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/horario-de-atencion-padres-3,huelga de profesores,2025-11-04 23:28:17
Red Académica,CURSO DE INGLES SABADO IED NUEVA ZELANDIA,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/curso-de-ingles-sabado-ied-nueva-zelandia,huelga de profesores,2025-11-04 23:28:17
Red Académica,"El francés, una nueva puerta al mundo en el Colegio Gran Yomasa",,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/el-frances-una-nueva-puerta-al-mundo-en-el-colegio-gran-yomasa,huelga de profesores,2025-11-04 23:28:17
Red Académica,El Colegio La Toscana-Lisboa realiza actos de postulación a los cargos de personería y contraloría estudiantil para el año 2025,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/el-colegio-la-toscana-lisboa-realiza-actos-de-postulacion-los-cargos-de-personeria-y-contraloria,huelga de profesores,2025-11-04 23:28:17
Red Académica,CONMEMORACION,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/conmemoracion,huelga de profesores,2025-11-04 23:28:17
Red Académica,Semana por la Paz - 2023,,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/semana-por-la-paz-2023-0,huelga de profesores,2025-11-04 23:28:17
