titulo,fuente,fecha_publicacion,url,es_paro_docente,hay_suspension_clases,ubicacion_bogota,ubicacion_Colombia,duracion_dias,organizaciones_sindicales,razones_paro,costo_mencionado,justificacion_paro,resumen,fecha_paro,tipo_movilizacion,ubicacion,descripcion,periodo_busqueda,fecha_extraccion,fuente_oficial
Circulares 2025,FECODE,No especificada,https://fecode.edu.co/circulares-2025/,True,True,False,True,2.0,['FECODE'],Demandas relacionadas con la financiación de la educación pública y derechos laborales de los docentes.,,"Se menciona un 'Paro Nacional de 48 horas' y un 'Paro Nacional' programado para el 30 de octubre de 2025, lo que indica que hubo suspensión de clases.","FECODE convoca a un paro nacional de 48 horas para el 30 de octubre de 2025, en defensa de la educación pública y los derechos laborales de los docentes.",2025-10-30,paro docente,"{'pais': 'Colombia', 'ciudad': None, 'localidades': []}","byfecodeAdminWP8|Mar 16, 2025",paro docentes,2025-11-04 23:25:18,FECODE
Paro de Docentes,Red Académica,No especificada,https://www.redacademica.edu.co/resultados-busqueda?search_api_fulltext=/paro-de-docentes,True,True,True,False,1.0,['Asociación Distrital de Educadores'],El paro busca mejorar la calidad educativa y la participación de los padres en la gestión escolar.,,"El comunicado menciona un paro de 24 horas convocado por la Asociación Distrital de Educadores, lo que implica la suspensión de clases programadas.","El 3 de noviembre, la Asociación Distrital de Educadores convocó un paro de 24 horas, lo que resultará en la suspensión de clases. Se busca mejorar la participación de los padres en la educación.",2022-11-03,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': []}",,paro docentes,2025-11-04 23:27:40,media
Fecode confirma convocatoria de paro en octubre: fecha y motivos de la protesta,Portafolio,22  octubre de 2025,https://www.portafolio.co/buscar?q=/economia/regiones/fecode-confirma-convocatoria-de-paro-en-octubre-fecha-y-motivos-de-la-protesta-642789,True,True,False,True,1.0,['FECODE'],"Las movilizaciones son a nivel nacional y están convocadas por FECODE, aunque no se especifican las demandas en el texto.",,"El paro docente se considera verdadero porque se menciona un cese de actividades programadas por 24 horas, lo que implica la suspensión de clases.","FECODE ha convocado un paro docente de 24 horas a nivel nacional para octubre, con suspensión de clases.",2025-10-01,paro docente,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}",Regiones22  octubre de 2025,FECODE 2023,2025-11-04 23:31:59,FECODE
Fecode convoca paro nacional de 24 horas para exigir soluciones en salud,Portafolio,2  octubre de 2025,https://www.portafolio.co/buscar?q=/economia/gobierno/fecode-anuncia-paro-nacional-de-maestros-el-30-de-octubre-por-salud-y-educacion-publica-641228,True,True,False,True,1.0,['FECODE'],Exigir soluciones en salud y mayores compromisos con la educación pública.,,"Se trata de un paro nacional convocado por Fecode, lo que implica la suspensión de clases programadas para el 30 de octubre.","Fecode ha convocado un paro nacional de 24 horas para el 30 de octubre, buscando soluciones en salud y mejoras en la educación pública.",2025-10-30,paro docente,"{'pais': 'Colombia', 'ciudad': None, 'localidades': []}",Gobierno2  octubre de 2025,protesta docente 2023,2025-11-04 23:32:13,FECODE
Fecode convoca a paro nacional de 24 horas el próximo 30 de octubre,Valora Analitik,No especificada,https://www.valoraanalitik.com/fecode-convoca-a-paro-nacional-de-24-horas-el-proximo-30-de-octubre/,True,True,False,True,1.0,['FECODE'],"Defensa del derecho a la salud digna para maestros y sus familias, y exigencia de reglamentación del Acto Legislativo 03 de 2024.",,"El paro convocado por Fecode implica la suspensión de clases programadas durante 24 horas, lo que lo clasifica como un paro docente verdadero.",Fecode convoca a un paro nacional de 24 horas el 30 de octubre para exigir mejoras en la salud de los docentes y la reglamentación de una reforma educativa.,2025-10-30,paro docente,"{'pais': 'Colombia', 'ciudad': None, 'localidades': None}","Estas son las razones del descontento de la Federación de Trabajadores, Fecode.",paro docentes,2025-11-04 23:32:28,media
¿Cuántos paros de maestros ha habido en 2023 y cómo impactan a la educación en Colombia?,Valora Analitik,No especificada,https://www.valoraanalitik.com/estos-son-los-paros-de-maestros-que-se-han-desarrollado-en-2023/,True,True,True,True,1.0,"['FECODE', 'ADE']","Rechazo al bono escolar propuesto, incumplimiento de acuerdos, mala prestación del sistema de salud y barreras de acceso a la educación.",,El paro docente se considera verdadero porque se menciona que habrá una suspensión de clases programadas durante 24 horas el 30 de agosto de 2023.,"El 30 de agosto de 2023, Fecode convocó un paro de 24 horas en Colombia para protestar contra un proyecto de bono escolar y otras demandas relacionadas con la educación pública.",2023-08-30,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': []}","Tras el nuevo anuncio de un paro de maestros este 30 de agosto de 2023 en Colombia afectando a estudiantes, se generó polémica.",paro maestros,2025-11-04 23:32:45,"media, Blu Radio"
Paro nacional de maestros este 30 de agosto: ¿Por qué marchan 24 horas?,Valora Analitik,No especificada,https://www.valoraanalitik.com/paro-de-maestros-este-30-de-agosto-descubra-razones/,True,True,True,True,1.0,['FECODE'],"Los maestros protestan por la mala prestación del servicio de salud, barreras de acceso a mejores oportunidades laborales, incumplimientos de pactos gubernamentales y en contra de un bono escolar que consideran perjudicial para la educación pública.",,El paro se considera verdadero porque se menciona que habrá una suspensión de clases programadas durante 24 horas a nivel nacional.,"El 30 de agosto se llevará a cabo un paro nacional de maestros en Colombia por 24 horas, promovido por FECODE, en protesta por diversas problemáticas del sector educativo y de salud.",2023-08-30,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': []}","Para este 30 de agosto se vivirá una nueva jornada de paro nacional, el cual será por 24 horas, promovido por Fecode.",paro maestros,2025-11-04 23:32:45,media
¿Paro de maestros? Fecode anuncia movilizaciones para este 30 de agosto,Valora Analitik,No especificada,https://www.valoraanalitik.com/fecode-anuncia-movilizaciones-para-este-30-de-agosto/,True,True,True,True,1.0,['FECODE'],"Protestas por malas condiciones de acceso al sistema de salud, incumplimientos, barreras de acceso, falta de oportunidades y proyectos de ley que afectan la educación pública.",,"El anuncio de Fecode menciona un 'paro nacional del magisterio' de 24 horas, lo que implica la suspensión de clases programadas.","Fecode ha convocado un paro nacional de 24 horas para el 30 de agosto, en protesta por diversas condiciones que afectan al magisterio y la educación pública en Colombia.",2023-08-30,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': []}","Fecode, indicó que habrá una nueva movilización de protestas el próximo miércoles 30 de agosto en todo el territorio nacional.",paro maestros,2025-11-04 23:32:45,media
"Marcha de maestros continuó este 29 de marzo, vea el balance de movilidad en Bogotá",Valora Analitik,No especificada,https://www.valoraanalitik.com/marcha-de-maestros-continuo-este-miercoles-29-conozca-como-esta-movilidad/,True,True,True,True,,['ADE'],Mejores condiciones laborales y negociación con la Alcaldía de Bogotá y la Secretaría de Educación.,,Se considera un paro docente porque hubo un cese de actividades que resultó en la suspensión de clases programadas para los estudiantes de colegios públicos en Bogotá.,"Los maestros de Bogotá realizaron una marcha el 29 de marzo para exigir mejores condiciones laborales, afectando la movilidad y suspendiendo clases en colegios públicos.",2023-03-29,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': ['Super Cade de la 30 con 26', 'Secretaría de Educación', 'Centro Comercial Gran Estación']}",Desde ayer los maestros de Bogotá hicieron una marcha para exigir mejores condiciones laborales a Claudia López y este 29 de marzo siguen.,paro maestros,2025-11-04 23:32:45,media
Puntos de encuentro de Fecode para las marchas de este 28 de febrero en Bogotá,Valora Analitik,No especificada,https://www.valoraanalitik.com/fecode-conozca-los-puntos-de-encuentro-para-las-movilizaciones-de-hoy-28-febrero/,True,True,True,True,1.0,['FECODE'],"Aumento salarial, mejoras en la educación e infraestructura, protección laboral, y mejoras en el PAE y conectividad.",,Se considera un paro docente porque algunos colegios públicos suspendieron clases el 28 de febrero para permitir que los docentes participaran en las marchas convocadas por Fecode.,"El 28 de febrero, Fecode convocó a marchas en Colombia por derechos laborales, lo que llevó a la suspensión de clases en algunos colegios públicos.",2023-02-28,paro docente,"{'pais': 'Colombia', 'ciudad': 'Bogotá', 'localidades': ['Avenida Jiménez', 'Carrera Séptima', 'Gobernación de Cundinamarca']}",Este martes 28 de febrero los profesores de Colombia fueron convocados por Fecode para marchar por sus derechos laborales.,FECODE 2023,2025-11-04 23:33:30,media
