titulo,fuente,fecha_publicacion,url,es_paro_docente,hay_suspension_clases,ubicacion_bogota,ubicacion_Colombia,duracion_dias,organizaciones_sindicales,razones_paro,costo_mencionado,justificacion_paro,resumen,fecha_paro,tipo_movilizacion,ubicacion,descripcion,periodo_busqueda,fecha_extraccion,fuente_oficial
Paro docente a nivel nacional para pedir por una nueva ley de Financiamiento Educativo: cuándo es,MinutoUno,2025-11-03,https://www.minutouno.com/politica/paro-docente-nivel-nacional-pedir-una-nueva-ley-financiamiento-educativo-cuando-es-n6201386&ved=2ahUKEwicufbgqtuQAxWOJe8CHQRCJW0QxfQBegQIBxAC&usg=AOvVaw3gJDF-N8_tnW6tiC_B4Ygx,True,True,False,True,,[],Demandan una nueva ley de Financiamiento Educativo.,,"Se trata de un paro docente verdadero ya que se menciona que es una medida de fuerza que involucra a docentes de todo el país, lo que implica la suspensión de clases.",Paro docente a nivel nacional para exigir una nueva ley de Financiamiento Educativo.,2023-10-01,paro docente,Colombia,La medida de fuerza había sido anunciada a principios de octubre como el paso final de un plan de lucha que involucró a docentes de todo el país.,paro docente Colombia 2014,2025-11-05 15:33:43,Medio no especificado
14 de octubre – Paro nacional docente,UnTER,2025-11-04,https://www.unter.org.ar/2025/10/09/14-de-octubre-paro-nacional-docente/&ved=2ahUKEwicufbgqtuQAxWOJe8CHQRCJW0QxfQBegQIChAC&usg=AOvVaw0ivoiin8FH5AnrUPzhLfQ0,True,True,False,True,,[],Reclamo por una nueva Ley de Financiamiento Educativo.,,Se trata de un paro docente verdadero ya que hubo suspensión de clases programadas en todo el país.,El 14 de octubre se realizó un paro nacional docente en Colombia para exigir una nueva Ley de Financiamiento Educativo.,2023-10-14,paro docente,Colombia,El martes 14 de octubre lxs docentes de todo el país paramos para reclamar al gobierno de Javier Milei: Una nueva Ley de Financiamiento Educativo.,paro docente Colombia 2014,2025-11-05 15:33:43,No especificado
En Armenia se suspenden las clases por el paro de 48 horas de maestros,Caracol Radio,2025-11-05,https://caracol.com.co/2025/05/28/en-armenia-se-suspenden-las-clases-por-el-paro-de-48-horas-de-maestros/&ved=2ahUKEwicufbgqtuQAxWOJe8CHQRCJW0QxfQBegQIAxAC&usg=AOvVaw3h4yePbh6z2SWTIbO9bKmz,True,True,False,True,2.0,['FECODE'],Apoyo a la consulta popular y reformas del Gobierno Nacional.,,"Se suspendieron las clases en 29 instituciones educativas de Armenia debido a un paro de 48 horas convocado por Fecode, en el que participará el 100% de los docentes.",En Armenia se suspenden clases por un paro de 48 horas de maestros convocado por Fecode.,2025-05-28,paro docente,"Colombia, Armenia",Armenia. En las 29 instituciones educativas de la ciudad con sus 72 sedes no habrá clases los días 28 y 29 de mayo debido a la jornada de movilización...,paro docente Colombia 2014,2025-11-05 15:33:43,Secretaria de Educación de Armenia
"Por paro nacional, miércoles 28 y jueves 29 de mayo no habrá clases en colegios públicos de Armenia",Alcaldía de Armenia,2025-11-05,https://www.armenia.gov.co/atencion-al-ciudadano/noticias/por-paro-nacional-miercoles-28-y-jueves-29-de-mayo-no-habra-clases-en-colegios-publicos-de-armenia&ved=2ahUKEwicufbgqtuQAxWOJe8CHQRCJW0QxfQBegQIBRAC&usg=AOvVaw0E_5fR8iMvAiUB_9i82Tb7,True,True,False,True,2.0,[],Paro nacional que afecta a los colegios públicos.,,Se suspendieron las clases programadas en las instituciones educativas públicas de Armenia.,Se suspenden clases en colegios públicos de Armenia por paro nacional.,2024-05-28,paro docente,"Colombia, Armenia","La secretaria de Educación, Paula Andrea Huertas Arcila, informó que los días miércoles 28 y jueves 29 de mayo no habrá clases en las 29 instituciones...",paro docente Colombia 2014,2025-11-05 15:33:43,Secretaría de Educación
Paro nacional de Fecode este 30 de octubre: puntos y horarios de las marchas en Bogotá y otras ciudades de Colombia,La FM,2025-11-06,https://www.lafm.com.co/orden-publico/paro-nacional-de-fecode-horarios-y-rutas-de-las-marchas-del-30-de-octubre-en-bogota-381163&ved=2ahUKEwjF4MPjqtuQAxWyIkQIHfzIBiIQxfQBegQIARAC&usg=AOvVaw284cw40ea3rgBkn6DuuuOY,True,True,True,True,,['FECODE'],Demandas relacionadas con condiciones laborales y derechos de los docentes.,,Se trata de un paro docente verdadero ya que se menciona la participación de maestros en un paro programado con suspensión de clases.,Fecode convoca a un paro nacional el 30 de octubre con marchas en varias ciudades.,2023-10-30,paro docente,"Colombia, Bogotá","Este jueves 30 de octubre, maestros, maestras y directivos docentes adscritos a la Federación Colombiana de Educadores (Fecode) participarán en un paro...",paro maestros Bogotá 2014,2025-11-05 15:33:47,FECODE
Paro nacional de Fecode el 30 de octubre: ¿repondrán las clases el sábado?,Alerta Bogotá,2025-11-01,https://www.alertabogota.com/noticias/local/paro-nacional-de-fecode-el-30-de-octubre-repondran-las-clases-el-sabado&ved=2ahUKEwjF4MPjqtuQAxWyIkQIHfzIBiIQxfQBegQIBRAC&usg=AOvVaw19Qjx0OgGPtczkBtEf7SOl,True,True,True,True,,['FECODE'],Llamar la atención sobre los compromisos pendientes con el Gobierno nacional.,,Se trata de un paro docente verdadero ya que se menciona un paro nacional de Fecode con suspensión de clases programadas.,Fecode convoca a un paro nacional el 30 de octubre para exigir cumplimiento de compromisos gubernamentales.,2023-10-30,paro docente,"Colombia, nacional",El sindicato explicó que la movilización busca llamar la atención sobre los compromisos pendientes con el Gobierno nacional.,paro maestros Bogotá 2014,2025-11-05 15:33:47,FECODE
Fecode define detalles del paro nacional del magisterio el 30 de octubre,La FM,2025-11-01,https://www.lafm.com.co/actualidad/fecode-convoca-paro-nacional-docente-el-30-de-octubre-381056&ved=2ahUKEwjF4MPjqtuQAxWyIkQIHfzIBiIQxfQBegQIChAC&usg=AOvVaw3j8mSPq4Ouv0qpfuRJlhny,True,True,True,True,,['FECODE'],Exigir cumplimiento de acuerdos y defensa del sistema educativo y de salud.,,"Se trata de un paro nacional del magisterio, lo que implica la suspensión de clases programadas.",Fecode convoca a un paro nacional del magisterio el 30 de octubre para exigir derechos educativos.,2023-10-30,paro docente,"Colombia, nacional",La nueva manifestación de los maestros busca exigir cumplimiento de acuerdos y defensa del sistema educativo y de salud.,paro maestros Bogotá 2014,2025-11-05 15:33:47,FECODE
Paro de maestros en Bogotá: suspensión de clases por 24 horas en defensa de salud y trabajo digno,La FM,2025-11-03,https://www.lafm.com.co/actualidad/paro-de-maestros-en-bogota-clases-suspendidas-por-24-h-373430&ved=2ahUKEwjF4MPjqtuQAxWyIkQIHfzIBiIQxfQBegQIAhAC&usg=AOvVaw3i_DAc1GhvCy1E_rVaJHpX,True,True,True,False,1.0,[],Defensa de salud y trabajo digno.,,Se trata de un paro docente verdadero ya que hubo suspensión de clases programadas por 24 horas.,Paro de maestros en Bogotá con suspensión de clases por 24 horas.,2023-10-19,paro docente,"Colombia, Bogotá","Durante la jornada de este jueves, cientos de docentes se congregaron frente a la sede de la Fiduprevisora en Bogotá como parte del paro distrital de 24...",paro maestros Bogotá 2014,2025-11-05 15:33:47,Fiduprevisora
Maestros de Bogotá realizan paro de 24 horas «en defensa del derecho a la salud»,Radio Santa Fe 1070 a.m. Noticias de Colombia,2025-11-03,https://www.radiosantafe.com/2025/07/17/maestros-de-bogota-realizan-paro-de-24-horas-en-defensa-del-derecho-a-la-salud/&ved=2ahUKEwjF4MPjqtuQAxWyIkQIHfzIBiIQxfQBegQIBBAC&usg=AOvVaw0Fno7yirY-h5gQwMVHdg_y,True,True,True,True,1.0,[],Protesta por el mal servicio del modelo de salud.,,"Se trata de un paro de 24 horas con suspensión de clases programadas, en protesta por el mal servicio del modelo de salud.",Docentes de Bogotá realizan un paro de 24 horas en defensa del derecho a la salud.,2023-10-19,paro docente,"Colombia, Bogotá","–Un paro de 24 horas, enmarcado por marchas, realizan este jueves los docentes de Bogotá en protesta por el mal servicio del modelo de salud implementado...",paro maestros Bogotá 2014,2025-11-05 15:33:47,medio no especificado
Movilidad se complica en Chapinero por manifestación de profesores,Alerta Bogotá,2025-11-03,https://www.alertabogota.com/noticias/local/movilidad-se-complica-en-chapinero-por-manifestacion-de-profesores&ved=2ahUKEwjF4MPjqtuQAxWyIkQIHfzIBiIQxfQBegQICRAC&usg=AOvVaw1MZKiuTtPGNG3CklRRza5R,True,True,True,False,,[],Demandas relacionadas con la movilidad y condiciones laborales de los docentes.,,Se trata de un paro docente verdadero ya que se menciona que las manifestaciones son parte de un Paro Distrital convocado por los maestros.,Los profesores realizan una manifestación en Chapinero como parte de un Paro Distrital.,2023-10-03,paro docente,"Colombia, Bogotá, Chapinero",Estas manifestaciones hacen parte del Paro Distrital convocado por los maestros.,paro maestros Bogotá 2014,2025-11-05 15:33:47,noticia no especificada
Paro nacional de Fecode este 30 de octubre: puntos y horarios de las marchas en Bogotá y otras ciudades de Colombia,La FM,2025-11-06,https://www.lafm.com.co/orden-publico/paro-nacional-de-fecode-horarios-y-rutas-de-las-marchas-del-30-de-octubre-en-bogota-381163&ved=2ahUKEwiHps_lqtuQAxVeH0QIHb85BtYQxfQBegQICRAC&usg=AOvVaw2zU3XpKOK8fUeqovb94Wqv,True,True,True,True,,['FECODE'],Demandas relacionadas con condiciones laborales y derechos de los docentes.,,Se trata de un paro docente verdadero ya que se menciona la participación de maestros en un paro programado con suspensión de clases.,Fecode convoca a un paro nacional el 30 de octubre con marchas en varias ciudades.,2023-10-30,paro docente,"Colombia, Bogotá","Este jueves 30 de octubre, maestros, maestras y directivos docentes adscritos a la Federación Colombiana de Educadores (Fecode) participarán en un paro...",FECODE paro 2014,2025-11-05 15:33:50,FECODE
Fecode define detalles del paro nacional del magisterio el 30 de octubre,La FM,2025-11-01,https://www.lafm.com.co/actualidad/fecode-convoca-paro-nacional-docente-el-30-de-octubre-381056&ved=2ahUKEwiHps_lqtuQAxVeH0QIHb85BtYQxfQBegQIChAC&usg=AOvVaw1qZPsZOTLwagRJSP8yQLT_,True,True,False,True,,['FECODE'],Exigir cumplimiento de acuerdos y defensa del sistema educativo y de salud.,,"Se trata de un paro nacional del magisterio, lo que implica la suspensión de clases programadas.",Fecode convoca a un paro nacional del magisterio para el 30 de octubre.,2023-10-30,paro docente,Colombia,La nueva manifestación de los maestros busca exigir cumplimiento de acuerdos y defensa del sistema educativo y de salud.,FECODE paro 2014,2025-11-05 15:33:50,FECODE
